config,model,n,accuracy,cost_per_task,cost_per_correct,avg_steps,avg_seconds
strong_no_tools,claude-sonnet-4.6,145,0.14482758620689656,0.01741671724137931,0.12025828571428572,1.0,19.062874287875356
cheap_no_tools,gpt-4o-mini,145,0.0,3.011379310344828e-05,inf,1.0,2.1396801784622297
cheap_search,gpt-4o-mini,145,0.06206896551724138,0.0004345313793103289,0.007000783333333076,5.468965517241379,10.699972614799982
cheap_search_page,gpt-4o-mini,145,0.034482758620689655,0.0004778358620689509,0.013857239999999577,5.317241379310345,12.915952261751503
mid_search_page,claude-haiku-4.5,145,0.4896551724137931,0.009281096551724122,0.018954352112676025,3.6,22.53876108910318
